mechanism,severity,beam_cm,target_class,distance_crack_cm,distance_wear_cm,crack_mask,wear_mask,FC_Hz,FRMS_Hz,FRVF_Hz,m0,m1,m2,a1,a2,a3,a4,a5,f1_Hz,f2_Hz,f3_Hz,f4_Hz,f5_Hz,file_path,folder_all,all_index,segment_id,t0,t1
crack,slight,10.0,1,1.5,0.0,1,0,29.25587758876043,43.9343726142003,32.776862624645126,0.0032105117866227436,0.09392633982670753,6.197023266811569,0.02479117896181346,0.019550965764549594,0.012762575895482407,0.011288755587779819,0.008778531880307847,55.199999999999946,55.59999999999995,54.79999999999995,55.99999999999995,56.39999999999995,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0021\F0021CH1.CSV,ALL0021,21,1,0.0,2.498
crack,slight,10.0,1,1.5,0.0,1,0,15.081409598612236,31.231330187194196,27.348620984986322,0.006966781451309317,0.10506888465121002,6.795370657801725,0.02533376621285134,0.020305828206309662,0.013612353460546093,0.012348860975512676,0.00963230444470767,55.20000000000608,55.60000000000612,54.80000000000604,56.00000000000617,56.40000000000621,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0021\F0021CH1.CSV,ALL0021,21,2,2.5,4.998
crack,slight,10.0,1,1.5,0.0,1,0,16.29355925810862,32.31875383412969,27.910961575939577,0.006194782637437777,0.10093505799419483,6.4704619213794645,0.025193154862728086,0.019911786768477976,0.013175008049685433,0.012053035558680373,0.01010105417249609,55.199999999999946,55.59999999999995,54.79999999999995,55.99999999999995,56.39999999999995,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0022\F0022CH1.CSV,ALL0022,22,1,0.0,2.498
crack,slight,10.0,1,1.5,0.0,1,0,29.54044526923203,43.81595039426049,32.3604635666395,0.004148491993220371,0.12254830067557367,7.964430534172742,0.02623875525420599,0.02233746096799947,0.014981815870280772,0.012793069141925784,0.011241087663766587,55.20000000000608,55.60000000000612,56.00000000000617,54.80000000000604,56.40000000000621,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0022\F0022CH1.CSV,ALL0022,22,2,2.5,4.998
crack,slight,10.0,1,1.5,0.0,1,0,17.973878905639243,34.388524131243486,29.317405564110416,0.005484845222523533,0.09858394384581191,6.486216661417298,0.025891323004869553,0.01942444967922068,0.013864922194378635,0.011443792728437057,0.00820635495139525,55.199999999999946,55.59999999999995,54.79999999999995,55.99999999999995,56.39999999999995,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0023\F0023CH1.CSV,ALL0023,23,1,0.0,2.498
crack,slight,10.0,1,1.5,0.0,1,0,24.015865137647435,40.119925316537156,32.13793131324494,0.004220233863491939,0.10135256731495519,6.792923907889881,0.026083081776821067,0.019482084542543996,0.01380324367462139,0.011717770965454682,0.00877802511890179,55.20000000000608,55.60000000000612,54.80000000000604,56.00000000000617,56.40000000000621,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0023\F0023CH1.CSV,ALL0023,23,2,2.5,4.998
crack,slight,10.0,1,1.5,0.0,1,0,11.497662071152385,27.72405309503513,25.22750258971171,0.007984290849363416,0.09180067806377482,6.136910543755519,0.025604887271429476,0.017457511204304006,0.014331666697125878,0.009524308430662955,0.007497901189821985,55.199999999999946,55.59999999999995,54.79999999999995,55.99999999999995,56.39999999999995,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0024\F0024CH1.CSV,ALL0024,24,1,0.0,2.498
crack,slight,10.0,1,1.5,0.0,1,0,37.52899685797117,49.25971912896103,31.907590374368905,0.002848232375855039,0.10689130388423553,6.911292621478633,0.027032569829759698,0.019943257093959152,0.01537722264608133,0.011889953384550627,0.008836212204662228,55.20000000000608,55.60000000000612,54.80000000000604,56.00000000000617,56.40000000000621,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0024\F0024CH1.CSV,ALL0024,24,2,2.5,4.998
crack,slight,10.0,1,2.5,0.0,1,0,38.42029234675434,51.663254294446105,34.53944093760832,0.0023650928286537034,0.09086755790408745,6.312649979954525,0.022738247579519495,0.018705392726187688,0.012555893704863784,0.012030903244386567,0.00836494905671652,57.99999999999995,57.599999999999945,57.199999999999946,58.39999999999995,56.79999999999995,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_2.5cm_beam10cm\ALL0000\F0000CH1.CSV,ALL0000,0,1,0.0,2.498
crack,slight,10.0,1,2.5,0.0,1,0,8.427468643553244,25.18467071164399,23.732791894673188,0.007942845298967573,0.06693807969764351,5.037889733558268,0.018846284112640395,0.01432957642755109,0.011149065510263336,0.008920802553930808,0.006118104510644237,58.00000000000639,57.60000000000634,58.40000000000643,57.2000000000063,56.80000000000626,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_2.5cm_beam10cm\ALL0000\F0000CH1.CSV,ALL0000,0,2,2.5,4.998
